Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,exchange,ACT Symbol,Exchange,CQS Symbol,NASDAQ Symbol,act_symbol_backup,cqs_symbol_backup
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,,,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
AAON,"AAON, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ABAT,American Battery Technology Company - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ABL,"Abacus Global Management, Inc. - Class A Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ABP,"Abpro Holdings, Inc - Common Stock",G,N,D,100,N,N,NASDAQ,,,,,,
ABSI,Absci Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ABTC,American Bitcoin Corp. - Class A Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ABTS,Abits Group Inc - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ABVC,"ABVC BioPharma, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ABVE,Above Food Ingredients Inc. - Common Stock,G,N,E,100,N,N,NASDAQ,,,,,,
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ACB,Aurora Cannabis Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ACCL,Acco Group Holdings Limited - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ACET,"Adicet Bio, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ACFN,"Acorn Energy, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,N,100,N,N,NASDAQ,,,,,,
ACIC,American Coastal Insurance Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ACLX,"Arcellx, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ACNB,ACNB Corporation - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ACNT,Ascent Industries Co. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ACOG,Alpha Cognition Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
ACON,"Aclarion, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,,,,,,
ACT,"Enact Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ADAM,"Adamas Trust, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ADBE,Adobe Inc. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ADEA,Adeia Inc.  - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ADGM,"Adagio Medical Holdings, Inc - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
ADTX,"Aditxt, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
ADUS,Addus HomeCare Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
ADVB,Advanced Biomed Inc. - Common Stock,S,N,D,100,N,N,NASDAQ,,,,,,
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AEBI,Aebi Schmidt Holding AG - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AEC,Anfield Energy Inc. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AEI,Alset Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,,,,,,
AENT,Alliance Entertainment Holding Corporation - common stock,S,N,N,100,N,N,NASDAQ,,,,,,
AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",S,N,D,100,N,N,NASDAQ,,,,,,
AEVA,"Aeva Technologies, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AFBI,"Affinity Bancshares, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,,,,,,
AFCG,Advanced Flower Capital Inc. - Common Stock,G,N,N,100,N,N,NASDAQ,,,,,,
AFRI,Forafric Global PLC - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AFYA,Afya Limited - Class A Common Shares,Q,N,N,100,N,N,NASDAQ,,,,,,
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,S,N,N,100,N,N,NASDAQ,,,,,,
AGEN,Agenus Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AGH,Aureus Greenway Holdings Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100,N,N,NASDAQ,,,,,,
AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AGRZ,Agroz Inc. - Ordinary Shares,S,N,N,100,N,N,NASDAQ,,,,,,
AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,,,,,,
AHCO,AdaptHealth Corp.  - Common Stock,S,N,N,100,N,N,NASDAQ,,,,,,
